epci,libepci,nature_epci,nb_com
200068229,Communauté de communes des Baronnies en Drôme Provençale,CC,67
200068278,Communauté de communes Berry Loire Puisaye,CC,20
200068294,Communauté de communes des Deux Vallées Vertes,CC,54
200068369,Communauté de communes de Mirecourt Dompaire,CC,76
200068377,Communauté de communes de la Porte des Vosges Méridionales,CC,10
200068435,Communauté de communes Cœur du Perche,CC,12
200068443,Communauté de communes Andaine - Passais,CC,12
200068450,Communauté de communes Terres d'Argentan Interco,CC,49
200068468,Communauté de communes des Pays de L'Aigle,CC,32
200068484,Communauté de communes des Causses à l'Aubrac,CC,17
200068500,Communauté d'agglomération de Cambrai,CA,55
200068534,Communauté de communes Terroir de Caux,CC,79
200068542,Communauté de communes Les Balcons du Dauphiné,CC,47
200068559,Communauté de communes de l'Ouest Vosgien,CC,69
200068567,Communauté de communes Les Vals du Dauphiné,CC,36
200068625,Communauté de communes Alpes-Provence-Verdon - Sources de Lumière,CC,41
200068641,Communauté d'agglomération Le Muretain Agglo,CA,25
200068658,Communauté d'agglomération de Chaumont,CA,63
200068666,"Communauté d'agglomération Grand Saint-Dizier, Der et Vallées",CA,60
200068674,Communauté d'agglomération Grand Lac,CA,28
200068682,Communauté de communes Terre d'Eau,CC,45
200068757,Communauté d'agglomération d'Épinal,CA,78
200068765,Communauté de communes du Sisteronais-Buëch,CC,60
200068773,Communauté de communes des Vosges côté Sud Ouest,CC,60
200068781,Communauté d'agglomération Valence Romans Agglo,CA,54
200068799,Communauté de communes Intercom de la Vire au Noireau,CC,17
200068807,Communauté de communes du Bassin Auterivain Haut-Garonnais,CC,19
200068815,Communauté de communes Cœur de Garonne,CC,48
200068831,Communauté de communes Pays Ségali Communauté,CC,23
200068856,Communauté de communes des Hauts du Perche,CC,10
200068864,Communauté de communes de la Mossig et du Vignoble,CC,24
200068872,Communauté de communes Éguzon - Argenton - Vallée de la Creuse,CC,21
200068880,Communauté de communes Champagne Boischauts,CC,30
200068914,Communauté de communes La Rochefoucauld porte du Périgord,CC,27
200068922,Communauté de communes du Confluent et des Coteaux de Prayssas,CC,29
200068930,Communauté de communes Fumel Vallée du Lot,CC,27
200068948,Communauté de communes Albret Communauté,CC,33
200068955,Communauté de communes Anjou Loir et Sarthe,CC,17
200068963,Communauté de communes Maine Cœur de Sarthe,CC,13
200068989,Communauté d'agglomération Dinan Agglomération,CA,64
200068997,Communauté d'agglomération Arlysère,CA,39
